;dominio;jornal;main;to_collect
175;cientistas.publico.pt/noticia;Publico;FALSE;FALSE
176;cinecartaz.publico.clix.pt/noticia;Publico;FALSE;FALSE
177;cinecartaz.publico.pt/noticia;Publico;FALSE;FALSE
178;classificados.publico.clix.pt/noticia;Publico;FALSE;FALSE
179;coleccoes.publico.clix.pt/noticia;Publico;FALSE;FALSE
180;coleccoes.publico.pt/noticia;Publico;FALSE;FALSE
181;comentarios.publico.pt/noticia;Publico;FALSE;FALSE
182;comunique.publico.pt/noticia;Publico;FALSE;FALSE
183;convites.publico.pt/noticia;Publico;FALSE;FALSE
184;data.publico.pt/noticia;Publico;FALSE;FALSE
185;desporto.publico.clix.pt/noticia;Publico;FALSE;FALSE
186;desporto.publico.pt/noticia;Publico;FALSE;FALSE
187;dev.publico.pt/noticia;Publico;FALSE;FALSE
188;digital.publico.clix.pt/noticia;Publico;FALSE;FALSE
189;digital.publico.pt/noticia;Publico;FALSE;FALSE
190;dossiers.publico.clix.pt/noticia;Publico;FALSE;FALSE
191;dossiers.publico.pt/noticia;Publico;FALSE;FALSE
192;ebookmagnum.publico.pt/noticia;Publico;FALSE;FALSE
193;economia.publico.clix.pt/noticia;Publico;FALSE;FALSE
194;economia.publico.pt/noticia;Publico;FALSE;FALSE
195;ecosfera.publico.clix.pt/noticia;Publico;FALSE;FALSE
196;ecosfera.publico.pt/noticia;Publico;FALSE;FALSE
197;editorporumdia.publico.pt/noticia;Publico;FALSE;FALSE
198;eleicoes.publico.clix.pt/noticia;Publico;FALSE;FALSE
199;eleicoes.publico.pt/noticia;Publico;FALSE;FALSE
200;eleicoes2009.publico.pt/noticia;Publico;FALSE;FALSE
201;emprego.publico.pt/noticia;Publico;FALSE;FALSE
202;erro.publico.pt/noticia;Publico;FALSE;FALSE
203;euro2004.publico.pt/noticia;Publico;FALSE;FALSE
204;euro2008.publico.clix.pt/noticia;Publico;FALSE;FALSE
205;euro2008.publico.pt/noticia;Publico;FALSE;FALSE
206;feed.p24.publico.pt/noticia;Publico;FALSE;FALSE
207;fonts.publico.pt/noticia;Publico;FALSE;FALSE
208;fugas.publico.pt/noticia;Publico;FALSE;FALSE
209;galerias.publico.pt/noticia;Publico;FALSE;FALSE
210;i.publico.pt/noticia;Publico;FALSE;FALSE
211;imagens.publico.pt/noticia;Publico;FALSE;FALSE
212;imagens0.publico.pt/noticia;Publico;FALSE;FALSE
213;imagens1.publico.pt/noticia;Publico;FALSE;FALSE
214;imagens2.publico.pt/noticia;Publico;FALSE;FALSE
215;imagens3.publico.pt/noticia;Publico;FALSE;FALSE
216;imagens4.publico.pt/noticia;Publico;FALSE;FALSE
217;imagens5.publico.pt/noticia;Publico;FALSE;FALSE
218;imagens6.publico.pt/noticia;Publico;FALSE;FALSE
219;imagens7.publico.pt/noticia;Publico;FALSE;FALSE
220;imagens8.publico.pt/noticia;Publico;FALSE;FALSE
221;imagens9.publico.pt/noticia;Publico;FALSE;FALSE
222;imobiliario.publico.pt/noticia;Publico;FALSE;FALSE
223;inimigo.publico.clix.pt/noticia;Publico;FALSE;FALSE
224;inimigo.publico.pt/noticia;Publico;FALSE;FALSE
225;ipsilon.publico.clix.pt/noticia;Publico;FALSE;FALSE
226;ipsilon.publico.pt/noticia;Publico;FALSE;FALSE
227;jogos.publico.pt/noticia;Publico;FALSE;FALSE
228;jornal.publico.clix.pt/noticia;Publico;FALSE;FALSE
229;jornal.publico.pt/noticia;Publico;FALSE;FALSE
230;lazer.publico.clix.pt/noticia;Publico;FALSE;FALSE
231;lazer.publico.pt/noticia;Publico;FALSE;FALSE
232;leiloes.publico.pt/noticia;Publico;FALSE;FALSE
233;lifestyle.publico.pt/noticia;Publico;FALSE;FALSE
234;linguistica.publico.clix.pt/noticia;Publico;FALSE;FALSE
235;linguistica.publico.pt/noticia;Publico;FALSE;FALSE
236;login.publico.pt/noticia;Publico;FALSE;FALSE
237;loja.publico.clix.pt/noticia;Publico;FALSE;FALSE
238;loja.publico.pt/noticia;Publico;FALSE;FALSE
239;m.cinecartaz.publico.pt/noticia;Publico;FALSE;FALSE
240;m.lazer.publico.pt/noticia;Publico;FALSE;FALSE
241;m.publico.pt/noticia;Publico;FALSE;FALSE
242;mkt.publico.pt/noticia;Publico;FALSE;FALSE
243;mobile.publico.pt/noticia;Publico;FALSE;FALSE
244;moblog.publico.pt/noticia;Publico;FALSE;FALSE
245;movel.publico.pt/noticia;Publico;FALSE;FALSE
246;multimedia.publico.pt/noticia;Publico;FALSE;FALSE
247;news.publico.pt/noticia;Publico;FALSE;FALSE
248;newspapper.publico.clix.pt/noticia;Publico;FALSE;FALSE
249;noite.publico.pt/noticia;Publico;FALSE;FALSE
250;olimpicos2008.publico.clix.pt/noticia;Publico;FALSE;FALSE
251;olimpicos2008.publico.pt/noticia;Publico;FALSE;FALSE
252;org-publico.pt/noticia;Publico;FALSE;TRUE
253;p.publico.pt/noticia;Publico;FALSE;FALSE
254;p3-front1.publico.pt/noticia;Publico;FALSE;TRUE
255;p3-front2.publico.pt/noticia;Publico;FALSE;TRUE
